sample	DADA2_input	filtered	denoisedF	denoisedR	merged	nonchim	input_tax_filter	filtered_tax_filter	lost	retained_percent	lost_percent
D14P11b1cec	82828	1848	1434	1571	981	965	965	965	0	100	0
D14P12b1cec	26625	18152	17044	17710	15160	11243	11243	11243	0	100	0
D14P13b1cec	43079	30976	29526	30241	26001	18579	18579	18579	0	100	0
D14P16b1cec	71470	50532	47934	49523	41931	32044	32044	31815	229	99.2853576332543	0.714642366745721
D14P17b1cec	92635	2728	2334	2504	1667	1658	1658	1658	0	100	0
D14P18b1cec	34364	23918	22637	23268	19455	17606	17606	17606	0	100	0
D14P19b1cec	84517	1729	1439	1554	1135	1117	1117	1117	0	100	0
D14P23b1cec	99505	1898	1707	1784	1512	1512	1512	1512	0	100	0
D14P24b1cec	53175	37019	34979	36204	29266	26339	26339	26339	0	100	0
D14P26b1cec	54199	39133	37225	38221	32103	24843	24843	24755	88	99.6457754699513	0.354224530048711
D14P28b1cec	71151	50147	47592	49111	41541	37486	37486	37486	0	100	0
D14P34b1cec	18093	12818	11605	12190	9164	8603	8603	8603	0	100	0
D14P35b1cec	97287	2098	1706	1854	1463	1458	1458	1458	0	100	0
D14P37b1cec	42194	29741	28309	28938	25336	20771	20771	20771	0	100	0
D14P38b1cec	37614	26723	25011	25731	21537	19648	19648	19642	6	99.9694625407166	0.03053745928338
D14P40b1cec	100717	70612	68439	69797	59974	43438	43438	43372	66	99.8480593029145	0.151940697085507
D14P41b1cec	73447	50776	48455	50008	42104	32658	32658	32658	0	100	0
D14P43b1cec	66107	45679	44326	44989	39882	36085	36085	35866	219	99.3930996258833	0.606900374116677
D14P44b1cec	66459	47469	45586	46516	40192	36054	36054	36032	22	99.9389804182615	0.0610195817385062
D14P48b1cec	43074	29651	27592	28849	22087	19727	19727	19727	0	100	0
D14P4b1cec	67619	47536	45448	46543	38609	31899	31899	31899	0	100	0
D14P50b1cec	56348	40577	38573	39817	32067	27560	27560	27560	0	100	0
D14P52b1cec	81391	58281	56464	57309	51051	46843	46843	46843	0	100	0
D14P55b1cec	202185	135569	133888	134536	122332	88909	88909	87955	954	98.9269927678863	1.07300723211374
D14P57b1cec	19407	13957	12779	13256	10679	9851	9851	9851	0	100	0
D14P58b1cec	85488	61182	58396	59968	49677	39401	39401	39262	139	99.6472170757087	0.352782924291262
D14P60b1cec	103869	68943	66412	67913	58390	51867	51867	51867	0	100	0
D14P6b1cec	36152	25603	24088	24768	20178	18542	18542	18542	0	100	0
D14P8b1cec	35218	25266	23921	24654	20670	17989	17989	17989	0	100	0
D28P11b1cec	51792	37786	35263	36420	29255	25689	25689	25689	0	100	0
D28P12b1cec	50324	35669	33168	34639	28235	23409	23409	23409	0	100	0
D28P13b1cec	44566	30702	28065	29463	21458	19843	19843	19843	0	100	0
D28P16b1cec	92178	67451	64677	66147	58403	45296	45296	45296	0	100	0
D28P17b1cec	147482	98549	92506	96122	78957	61090	61090	61090	0	100	0
D28P18b1cec	68330	48419	44480	46726	35457	29490	29490	29490	0	100	0
D28P19b1cec	137600	94156	89534	92306	79197	60747	60747	60645	102	99.8320904736036	0.167909526396372
D28P23b1cec	81577	54985	50621	53117	41205	35820	35820	35820	0	100	0
D28P24b1cec	127569	86345	82278	84478	72099	62964	62964	62964	0	100	0
D28P26b1cec	81540	55235	51868	53723	43229	37608	37608	37608	0	100	0
D28P28b1cec	88753	2773	2187	2437	1781	1757	1757	1757	0	100	0
D28P34b1cec	105646	2018	1650	1740	1307	1240	1240	1240	0	100	0
D28P35b1cec	54225	39034	36473	37760	31750	27087	27087	27087	0	100	0
D28P37b1cec	57015	41486	38583	40259	32619	27100	27100	27100	0	100	0
D28P3b1cec	55498	37864	34613	36413	27621	22466	22466	22466	0	100	0
D28P40b1cec	83194	2016	1542	1655	1117	1031	1031	1031	0	100	0
D28P41b1cec	58545	38432	36616	37529	32577	23266	23266	23266	0	100	0
D28P43b1cec	36547	26328	24619	25432	21247	17888	17888	17888	0	100	0
D28P48b1cec	51498	37033	34486	35819	29455	24635	24635	24635	0	100	0
D28P4b1cec	80423	58524	55367	57264	48008	41354	41354	41354	0	100	0
D28P50b1cec	47431	33394	31578	32491	27591	24167	24167	24167	0	100	0
D28P52b1cec	142951	4170	3665	3701	3169	3021	3021	3021	0	100	0
D28P55b1cec	87904	65938	62427	64372	53547	46426	46426	46426	0	100	0
D28P57b1cec	126084	94271	90302	92547	81158	68512	68512	68512	0	100	0
D28P58b1cec	125728	3098	2507	2671	1767	1710	1710	1702	8	99.5321637426901	0.467836257309941
D28P60b1cec	110611	2216	1815	1883	1247	1226	1226	1226	0	100	0
D28P6b1cec	87252	63267	60012	61685	53923	40984	40984	40931	53	99.8706812414601	0.129318758539924
D28P8b1cec	83008	60351	57047	58944	50264	45279	45279	45186	93	99.794606771351	0.205393228649044
D7P11b1cec	53849	36576	35760	36164	33637	30991	30991	30991	0	100	0
D7P12b1cec	58349	42829	41821	42402	36741	29564	29564	29209	355	98.7992152618049	1.20078473819511
D7P16b1cec	83355	60708	59594	60181	54924	46196	46196	46196	0	100	0
D7P17b1cec	144408	96048	94622	95326	86037	76236	76236	76236	0	100	0
D7P18b1cec	60805	42786	41087	41845	34715	30522	30522	30522	0	100	0
D7P19b1cec	113511	76016	73798	75103	63060	53480	53480	53431	49	99.9083769633508	0.0916230366492101
D7P23b1cec	86909	57719	56214	56893	47168	41611	41611	41611	0	100	0
D7P24b1cec	96827	64591	63174	63945	56166	45497	45497	45281	216	99.5252434226433	0.474756577356743
D7P26b1cec	70855	48352	47833	47897	45409	34250	34250	33821	429	98.7474452554744	1.25255474452555
D7P28b1cec	82160	58193	56767	57542	50751	42697	42697	42697	0	100	0
D7P34b1cec	99382	71337	69481	70487	63652	58930	58930	58848	82	99.8608518581368	0.139148141863231
D7P35b1cec	40623	29038	27765	28314	23910	19066	19066	18851	215	98.8723381936431	1.12766180635685
D7P37b1cec	56173	37354	36779	37033	33658	27960	27960	27960	0	100	0
D7P38b1cec	62473	44558	42933	43744	36386	32949	32949	32949	0	100	0
D7P3b1cec	74716	52239	50974	51209	42657	36382	36382	36248	134	99.6316859985707	0.368314001429283
D7P40b1cec	71803	50533	49033	49797	43932	37419	37419	37396	23	99.9385338998904	0.0614661001095698
D7P41b1cec	127380	82225	80513	81373	73258	54294	54294	54136	158	99.7089917854643	0.291008214535665
D7P43b1cec	157745	103862	101143	102698	87843	74146	74146	74146	0	100	0
D7P44b1cec	84510	60044	58547	59288	54190	43787	43787	43303	484	98.8946490967639	1.10535090323613
D7P48b1cec	114525	73949	72589	73125	64064	49956	49956	49956	0	100	0
D7P4b1cec	80263	56500	55026	55769	49144	45435	45435	45435	0	100	0
D7P50b1cec	77760	51790	50621	51038	46838	41526	41526	41246	280	99.3257236430188	0.674276356981167
D7P52b1cec	110400	3292	2950	3012	2524	2487	2487	2487	0	100	0
D7P55b1cec	126980	2678	2420	2481	2040	1973	1973	1973	0	100	0
D7P57b1cec	101383	2058	1780	1815	1225	1192	1192	1192	0	100	0
D7P58b1cec	65393	45987	44504	45143	38738	31155	31155	31155	0	100	0
D7P60b1cec	55166	39816	38276	39000	33471	28215	28215	28186	29	99.8972177919546	0.102782208045369
D7P6b1cec	68625	48876	47714	48237	43716	37343	37343	37263	80	99.7857697560453	0.214230243954688
D7P8b1cec	67888	48955	47550	48261	43649	36617	36617	36523	94	99.7432886364257	0.256711363574297
